
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001159                       # Number of seconds simulated (Second)
simTicks                                   1159261000                       # Number of ticks simulated (Tick)
finalTick                                  1159261000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     74.26                       # Real time elapsed on the host (Second)
hostTickRate                                 15610318                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4837888                       # Number of bytes of host memory used (Byte)
simInsts                                      3877396                       # Number of instructions simulated (Count)
simOps                                        5592055                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    52212                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      75301                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          378581                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         678421                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    1212                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        594949                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  3745                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              263126                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           478642                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                381                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             328683                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.810100                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.483198                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                   185580     56.46%     56.46% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                    21975      6.69%     63.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                    16810      5.11%     68.26% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                    16702      5.08%     73.34% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                    20822      6.33%     79.68% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                    21822      6.64%     86.32% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                    25553      7.77%     94.09% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                    11820      3.60%     97.69% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                     7599      2.31%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total               328683                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  12768     80.67%     80.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     80.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     80.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     80.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     80.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     80.67% # attempts to use FU when none available (Count)
